Unnamed: 0,ID,emotion,text,tokens
18,18,disgust,when i see rotten meat ,"['when', 'i', 'see', 'rotten', 'meat', '']"
19,19,joy,going to a friend s wedding and seeing many of my old friends whom i had known before i moved to a new district five years previously ,"['going', 'to', 'a', 'friend', 's', 'wedding', 'and', 'seeing', 'many', 'of', 'my', 'old', 'friends', 'whom', 'i', 'had', 'known', 'before', 'i', 'moved', 'to', 'a', 'new', 'district', 'five', 'years', 'previously', '']"
20,20,guilt,when my sister had the opportunity to do some modelling work  and i was quite jealous   later on the photographer decided not to take her photograph  and she was very upset   i felt guilty as a result  almost as if i had caused her to lose her opportunity  by not being genuinely happy for her in the first place ,"['when', 'my', 'sister', 'had', 'the', 'opportunity', 'to', 'do', 'some', 'modelling', 'work', '', 'and', 'i', 'was', 'quite', 'jealous', '', '', 'later', 'on', 'the', 'photographer', 'decided', 'not', 'to', 'take', 'her', 'photograph', '', 'and', 'she', 'was', 'very', 'upset', '', '', 'i', 'felt', 'guilty', 'as', 'a', 'result', '', 'almost', 'as', 'if', 'i', 'had', 'caused', 'her', 'to', 'lose', 'her', 'opportunity', '', 'by', 'not', 'being', 'genuinely', 'happy', 'for', 'her', 'in', 'the', 'first', 'place', '']"
21,21,shame,when i was a child my parents caught me with a pornographic magazine ,"['when', 'i', 'was', 'a', 'child', 'my', 'parents', 'caught', 'me', 'with', 'a', 'pornographic', 'magazine', '']"
22,22,shame,i am left handed  when i attended the first form  we learned to write with pens  i smeared everything i had written  all my friends had written well and wanted to know why the teacher was looking at my note book  i was ashamed ,"['i', 'am', 'left', 'handed', '', 'when', 'i', 'attended', 'the', 'first', 'form', '', 'we', 'learned', 'to', 'write', 'with', 'pens', '', 'i', 'smeared', 'everything', 'i', 'had', 'written', '', 'all', 'my', 'friends', 'had', 'written', 'well', 'and', 'wanted', 'to', 'know', 'why', 'the', 'teacher', 'was', 'looking', 'at', 'my', 'note', 'book', '', 'i', 'was', 'ashamed', '']"
23,23,anger,i worked together with another student on a computer assignment  she didn t do her best and didn t prepare herself for it  she expected me to explain it to her ,"['i', 'worked', 'together', 'with', 'another', 'student', 'on', 'a', 'computer', 'assignment', '', 'she', 'didn', 't', 'do', 'her', 'best', 'and', 'didn', 't', 'prepare', 'herself', 'for', 'it', '', 'she', 'expected', 'me', 'to', 'explain', 'it', 'to', 'her', '']"
24,24,fear,once i had to go home on foot at 5 a m  i had to pass through a forest and i was going alone ,"['once', 'i', 'had', 'to', 'go', 'home', 'on', 'foot', 'at', '5', 'a', 'm', '', 'i', 'had', 'to', 'pass', 'through', 'a', 'forest', 'and', 'i', 'was', 'going', 'alone', '']"
25,25,joy,after a busy day i went back to my hostel   i closed the door and had a drink  then i read my favourite book on the bed   suddenly i felt peace and joy ,"['after', 'a', 'busy', 'day', 'i', 'went', 'back', 'to', 'my', 'hostel', '', '', 'i', 'closed', 'the', 'door', 'and', 'had', 'a', 'drink', '', 'then', 'i', 'read', 'my', 'favourite', 'book', 'on', 'the', 'bed', '', '', 'suddenly', 'i', 'felt', 'peace', 'and', 'joy', '']"
26,26,shame,we got into a fight with some chaps in front of our family house  the value of the property destroyed was approximately 15 000 fim  i felt ashamed when my parents came to know about this ,"['we', 'got', 'into', 'a', 'fight', 'with', 'some', 'chaps', 'in', 'front', 'of', 'our', 'family', 'house', '', 'the', 'value', 'of', 'the', 'property', 'destroyed', 'was', 'approximately', '15', '000', 'fim', '', 'i', 'felt', 'ashamed', 'when', 'my', 'parents', 'came', 'to', 'know', 'about', 'this', '']"
27,27,disgust,when my friend who was drunk insulted me in public for no reason at all ,"['when', 'my', 'friend', 'who', 'was', 'drunk', 'insulted', 'me', 'in', 'public', 'for', 'no', 'reason', 'at', 'all', '']"
28,28,disgust,disgust with myself for consistently making foolish errors in communicating with others  asking for 1 2 kg of nuts when i only wanted 50 g  ,"['disgust', 'with', 'myself', 'for', 'consistently', 'making', 'foolish', 'errors', 'in', 'communicating', 'with', 'others', '', 'asking', 'for', '1', '2', 'kg', 'of', 'nuts', 'when', 'i', 'only', 'wanted', '50', 'g', '', '']"
29,29,fear,i was afraid when i met my uncle because this time i was with my boyfriend i thought i was not going to be given pocket money ,"['i', 'was', 'afraid', 'when', 'i', 'met', 'my', 'uncle', 'because', 'this', 'time', 'i', 'was', 'with', 'my', 'boyfriend', 'i', 'thought', 'i', 'was', 'not', 'going', 'to', 'be', 'given', 'pocket', 'money', '']"
30,30,fear,when i heard that my father had found a letter from my boyfriend and he was calling me to talk about it ,"['when', 'i', 'heard', 'that', 'my', 'father', 'had', 'found', 'a', 'letter', 'from', 'my', 'boyfriend', 'and', 'he', 'was', 'calling', 'me', 'to', 'talk', 'about', 'it', '']"
31,31,anger,a colleague asked me to study with her  i could not explain things as perfectly as she had expected  so she reacted in an aggressive manner ,"['a', 'colleague', 'asked', 'me', 'to', 'study', 'with', 'her', '', 'i', 'could', 'not', 'explain', 'things', 'as', 'perfectly', 'as', 'she', 'had', 'expected', '', 'so', 'she', 'reacted', 'in', 'an', 'aggressive', 'manner', '']"
32,32,fear,i felt afraid of losing somebody i love to another person because i was an incomprehensive person and lots of time i fight with this person ,"['i', 'felt', 'afraid', 'of', 'losing', 'somebody', 'i', 'love', 'to', 'another', 'person', 'because', 'i', 'was', 'an', 'incomprehensive', 'person', 'and', 'lots', 'of', 'time', 'i', 'fight', 'with', 'this', 'person', '']"
33,33,anger,i lent a text book to a person i did not know very well  they lost the text book and gave me no compensation ,"['i', 'lent', 'a', 'text', 'book', 'to', 'a', 'person', 'i', 'did', 'not', 'know', 'very', 'well', '', 'they', 'lost', 'the', 'text', 'book', 'and', 'gave', 'me', 'no', 'compensation', '']"
34,34,sadness,my mother kicked my surrogate father out and he in turn did not care for the dog  afthur  he bought for the family  his lack of concern lead tho arthur s death on the freeway  i loved arthur like a brother  he was easy to talk to ,"['my', 'mother', 'kicked', 'my', 'surrogate', 'father', 'out', 'and', 'he', 'in', 'turn', 'did', 'not', 'care', 'for', 'the', 'dog', '', 'afthur', '', 'he', 'bought', 'for', 'the', 'family', '', 'his', 'lack', 'of', 'concern', 'lead', 'tho', 'arthur', 's', 'death', 'on', 'the', 'freeway', '', 'i', 'loved', 'arthur', 'like', 'a', 'brother', '', 'he', 'was', 'easy', 'to', 'talk', 'to', '']"
35,35,anger,my boy friend had promised me to come home at about 10 p m  he did not return until midnight and had consumed a lot of alcohol ,"['my', 'boy', 'friend', 'had', 'promised', 'me', 'to', 'come', 'home', 'at', 'about', '10', 'p', 'm', '', 'he', 'did', 'not', 'return', 'until', 'midnight', 'and', 'had', 'consumed', 'a', 'lot', 'of', 'alcohol', '']"
36,36,shame,i had high heeled shoes one time  but a certain girl who saw the shoes told me that they were out of fashion and i looked as an old man when i was in those shoes ,"['i', 'had', 'high', 'heeled', 'shoes', 'one', 'time', '', 'but', 'a', 'certain', 'girl', 'who', 'saw', 'the', 'shoes', 'told', 'me', 'that', 'they', 'were', 'out', 'of', 'fashion', 'and', 'i', 'looked', 'as', 'an', 'old', 'man', 'when', 'i', 'was', 'in', 'those', 'shoes', '']"
37,37,joy,when i could study at university ,"['when', 'i', 'could', 'study', 'at', 'university', '']"
38,38,joy,when i learnt that i had been accepted at the medical school ,"['when', 'i', 'learnt', 'that', 'i', 'had', 'been', 'accepted', 'at', 'the', 'medical', 'school', '']"
39,39,joy,when i saw my family after a separation of one year ,"['when', 'i', 'saw', 'my', 'family', 'after', 'a', 'separation', 'of', 'one', 'year', '']"
40,40,guilt,when my parents quarelled over something i had done and which was wrong ,"['when', 'my', 'parents', 'quarelled', 'over', 'something', 'i', 'had', 'done', 'and', 'which', 'was', 'wrong', '']"
41,41,sadness,death of my grandmother ,"['death', 'of', 'my', 'grandmother', '']"
42,42,sadness,my best friend had a relatively severe illness   i was sad because she was suffering ,"['my', 'best', 'friend', 'had', 'a', 'relatively', 'severe', 'illness', '', '', 'i', 'was', 'sad', 'because', 'she', 'was', 'suffering', '']"
43,43,shame,when inadvertantly i found myself in the ladies room ,"['when', 'inadvertantly', 'i', 'found', 'myself', 'in', 'the', 'ladies', 'room', '']"
44,44,shame,when i had slept with a boy for the first time i felt ashamed for three reasons  first  because i was only 13 years old  second  because i did not really like him  third  because he had caught me napping ,"['when', 'i', 'had', 'slept', 'with', 'a', 'boy', 'for', 'the', 'first', 'time', 'i', 'felt', 'ashamed', 'for', 'three', 'reasons', '', 'first', '', 'because', 'i', 'was', 'only', '13', 'years', 'old', '', 'second', '', 'because', 'i', 'did', 'not', 'really', 'like', 'him', '', 'third', '', 'because', 'he', 'had', 'caught', 'me', 'napping', '']"
45,45,shame,when i had been angry at my friend without any reason ,"['when', 'i', 'had', 'been', 'angry', 'at', 'my', 'friend', 'without', 'any', 'reason', '']"
46,46,guilt,i ve always defended my sister when needed  at the expense of my brother  this has led to feelings of guilt towards him ,"['i', 've', 'always', 'defended', 'my', 'sister', 'when', 'needed', '', 'at', 'the', 'expense', 'of', 'my', 'brother', '', 'this', 'has', 'led', 'to', 'feelings', 'of', 'guilt', 'towards', 'him', '']"
47,47,anger,when i talked with a teacher yesterday who  to say the least  was rude and unwise and had irrelevant opinions about a friend ,"['when', 'i', 'talked', 'with', 'a', 'teacher', 'yesterday', 'who', '', 'to', 'say', 'the', 'least', '', 'was', 'rude', 'and', 'unwise', 'and', 'had', 'irrelevant', 'opinions', 'about', 'a', 'friend', '']"
48,48,fear,i was walking along the passage to my room  very near the anatomy laboratory  and i heard something and felt that there was some thing behind me   i looked back and there was no one   i started imagining that maybe it was a corpse ,"['i', 'was', 'walking', 'along', 'the', 'passage', 'to', 'my', 'room', '', 'very', 'near', 'the', 'anatomy', 'laboratory', '', 'and', 'i', 'heard', 'something', 'and', 'felt', 'that', 'there', 'was', 'some', 'thing', 'behind', 'me', '', '', 'i', 'looked', 'back', 'and', 'there', 'was', 'no', 'one', '', '', 'i', 'started', 'imagining', 'that', 'maybe', 'it', 'was', 'a', 'corpse', '']"
49,49,fear,  in an aeroplane  ,"['', '', 'in', 'an', 'aeroplane', '', '']"
50,50,disgust,when i boarded yanu yanu bus i sat near a man who was smoking tobacco ,"['when', 'i', 'boarded', 'yanu', 'yanu', 'bus', 'i', 'sat', 'near', 'a', 'man', 'who', 'was', 'smoking', 'tobacco', '']"
51,51,joy,finding out that i can go to your english lectures ,"['finding', 'out', 'that', 'i', 'can', 'go', 'to', 'your', 'english', 'lectures', '']"
52,52,guilt,when i told the driver at my workplace to lie and tell the boss that it was not me who was responsible for the delay   the boss was very annoyed and the driver was punished and a day s salary was taken away from him ,"['when', 'i', 'told', 'the', 'driver', 'at', 'my', 'workplace', 'to', 'lie', 'and', 'tell', 'the', 'boss', 'that', 'it', 'was', 'not', 'me', 'who', 'was', 'responsible', 'for', 'the', 'delay', '', '', 'the', 'boss', 'was', 'very', 'annoyed', 'and', 'the', 'driver', 'was', 'punished', 'and', 'a', 'day', 's', 'salary', 'was', 'taken', 'away', 'from', 'him', '']"
53,53,fear,i was to meet one of my friends  girl  at the library at 8 00 already dark  she would be walking alone  she was 45 minutes late but i kept waiting  calling her room and other places she could have been ,"['i', 'was', 'to', 'meet', 'one', 'of', 'my', 'friends', '', 'girl', '', 'at', 'the', 'library', 'at', '8', '00', 'already', 'dark', '', 'she', 'would', 'be', 'walking', 'alone', '', 'she', 'was', '45', 'minutes', 'late', 'but', 'i', 'kept', 'waiting', '', 'calling', 'her', 'room', 'and', 'other', 'places', 'she', 'could', 'have', 'been', '']"
54,54,guilt,borrowing a car  and then having a minor accident  breaking a headlight  ,"['borrowing', 'a', 'car', '', 'and', 'then', 'having', 'a', 'minor', 'accident', '', 'breaking', 'a', 'headlight', '', '']"
55,55,guilt,a friend of mine got encouragement and i did not  as the supervisor did not like me ,"['a', 'friend', 'of', 'mine', 'got', 'encouragement', 'and', 'i', 'did', 'not', '', 'as', 'the', 'supervisor', 'did', 'not', 'like', 'me', '']"
56,56,guilt,always  and this happens often when i do not keep my word ,"['always', '', 'and', 'this', 'happens', 'often', 'when', 'i', 'do', 'not', 'keep', 'my', 'word', '']"
57,57,disgust,i m very disgusted when i see people abusing their body with drugs and alcohol  they take advantage of these things usually for an excuse for the fantasies which they like and so they do things stupidly and unjustly ,"['i', 'm', 'very', 'disgusted', 'when', 'i', 'see', 'people', 'abusing', 'their', 'body', 'with', 'drugs', 'and', 'alcohol', '', 'they', 'take', 'advantage', 'of', 'these', 'things', 'usually', 'for', 'an', 'excuse', 'for', 'the', 'fantasies', 'which', 'they', 'like', 'and', 'so', 'they', 'do', 'things', 'stupidly', 'and', 'unjustly', '']"
58,58,shame,i am ashamed when i am not prepared in a subject and i have to answer in the presence of the patients ,"['i', 'am', 'ashamed', 'when', 'i', 'am', 'not', 'prepared', 'in', 'a', 'subject', 'and', 'i', 'have', 'to', 'answer', 'in', 'the', 'presence', 'of', 'the', 'patients', '']"
59,59,disgust,i was disgusted to find out that the water isn t filtered or purified before it leaves latimer hall from the drains ,"['i', 'was', 'disgusted', 'to', 'find', 'out', 'that', 'the', 'water', 'isn', 't', 'filtered', 'or', 'purified', 'before', 'it', 'leaves', 'latimer', 'hall', 'from', 'the', 'drains', '']"
60,60,anger,being treated unfairly ,"['being', 'treated', 'unfairly', '']"
61,61,joy,when i had my children ,"['when', 'i', 'had', 'my', 'children', '']"
62,62,shame,recently  i left my bag in the car of someone who picked me up while hitch hiking  i spent some effort to find out where he lived  i succeeded  ,"['recently', '', 'i', 'left', 'my', 'bag', 'in', 'the', 'car', 'of', 'someone', 'who', 'picked', 'me', 'up', 'while', 'hitch', 'hiking', '', 'i', 'spent', 'some', 'effort', 'to', 'find', 'out', 'where', 'he', 'lived', '', 'i', 'succeeded', '', '']"
63,63,fear,continous fear of a nuclear war ,"['continous', 'fear', 'of', 'a', 'nuclear', 'war', '']"
64,64,shame,i met a friend in a discotheque  he was with a girl and he told me that she was not his girlfriend   i  to say something  commented that she must be a viscious woman   he then told me that she was his girl ,"['i', 'met', 'a', 'friend', 'in', 'a', 'discotheque', '', 'he', 'was', 'with', 'a', 'girl', 'and', 'he', 'told', 'me', 'that', 'she', 'was', 'not', 'his', 'girlfriend', '', '', 'i', '', 'to', 'say', 'something', '', 'commented', 'that', 'she', 'must', 'be', 'a', 'viscious', 'woman', '', '', 'he', 'then', 'told', 'me', 'that', 'she', 'was', 'his', 'girl', '']"
65,65,anger,unjust accusations directed at me and my way of acting  by someone close to me   ,"['unjust', 'accusations', 'directed', 'at', 'me', 'and', 'my', 'way', 'of', 'acting', '', 'by', 'someone', 'close', 'to', 'me', '', '', '']"
66,66,anger,i was angry at the cafeteria when the cook scolded and said many bad things about me without reason  he thought i was among the girls who did him wrong ,"['i', 'was', 'angry', 'at', 'the', 'cafeteria', 'when', 'the', 'cook', 'scolded', 'and', 'said', 'many', 'bad', 'things', 'about', 'me', 'without', 'reason', '', 'he', 'thought', 'i', 'was', 'among', 'the', 'girls', 'who', 'did', 'him', 'wrong', '']"
67,67,fear,my mother had not come home at midnight   she had forgotten to tell me about it   i was very young and all alone at home ,"['my', 'mother', 'had', 'not', 'come', 'home', 'at', 'midnight', '', '', 'she', 'had', 'forgotten', 'to', 'tell', 'me', 'about', 'it', '', '', 'i', 'was', 'very', 'young', 'and', 'all', 'alone', 'at', 'home', '']"
68,68,fear,when our school was raided by the pupils of the boys secondary school who beat us up ,"['when', 'our', 'school', 'was', 'raided', 'by', 'the', 'pupils', 'of', 'the', 'boys', 'secondary', 'school', 'who', 'beat', 'us', 'up', '']"
69,69,sadness,a very close friend left me ,"['a', 'very', 'close', 'friend', 'left', 'me', '']"
70,70,joy,saw in tv that china had the most gold medals in the asian olympic ,"['saw', 'in', 'tv', 'that', 'china', 'had', 'the', 'most', 'gold', 'medals', 'in', 'the', 'asian', 'olympic', '']"
71,71,fear,my episode of fright happened when i came to study   i had to stand in front of my still unknown fellow students and talk about myself   my hands shook  i flushed and became tongue tied ,"['my', 'episode', 'of', 'fright', 'happened', 'when', 'i', 'came', 'to', 'study', '', '', 'i', 'had', 'to', 'stand', 'in', 'front', 'of', 'my', 'still', 'unknown', 'fellow', 'students', 'and', 'talk', 'about', 'myself', '', '', 'my', 'hands', 'shook', '', 'i', 'flushed', 'and', 'became', 'tongue', 'tied', '']"
72,72,joy,that was soon after the results of the interview which nearly 9 000 people attended in all the three regions of malawi  my joy came after hearing on the radio that i was one of the people selected to undergo the medical assistant training at the l s h s ,"['that', 'was', 'soon', 'after', 'the', 'results', 'of', 'the', 'interview', 'which', 'nearly', '9', '000', 'people', 'attended', 'in', 'all', 'the', 'three', 'regions', 'of', 'malawi', '', 'my', 'joy', 'came', 'after', 'hearing', 'on', 'the', 'radio', 'that', 'i', 'was', 'one', 'of', 'the', 'people', 'selected', 'to', 'undergo', 'the', 'medical', 'assistant', 'training', 'at', 'the', 'l', 's', 'h', 's', '']"
73,73,anger,when the person i m having the affair with won t talk to me in public ,"['when', 'the', 'person', 'i', 'm', 'having', 'the', 'affair', 'with', 'won', 't', 'talk', 'to', 'me', 'in', 'public', '']"
74,74,disgust,when a friend of mine got drunk and started to blame and scorn my other friends and me ,"['when', 'a', 'friend', 'of', 'mine', 'got', 'drunk', 'and', 'started', 'to', 'blame', 'and', 'scorn', 'my', 'other', 'friends', 'and', 'me', '']"
75,75,guilt,i escaped from communicating with god for a long time   i did not read the scriptures and i did not pray   i felt that i was getting further and further away from god   i felt guilty as this was because of my laziness ,"['i', 'escaped', 'from', 'communicating', 'with', 'god', 'for', 'a', 'long', 'time', '', '', 'i', 'did', 'not', 'read', 'the', 'scriptures', 'and', 'i', 'did', 'not', 'pray', '', '', 'i', 'felt', 'that', 'i', 'was', 'getting', 'further', 'and', 'further', 'away', 'from', 'god', '', '', 'i', 'felt', 'guilty', 'as', 'this', 'was', 'because', 'of', 'my', 'laziness', '']"
76,76,fear,i found myself involved in a fight in which a person died and i had to intervene with some risk ,"['i', 'found', 'myself', 'involved', 'in', 'a', 'fight', 'in', 'which', 'a', 'person', 'died', 'and', 'i', 'had', 'to', 'intervene', 'with', 'some', 'risk', '']"
77,77,guilt,when i decided to take a week s holiday without consulting the family first ,"['when', 'i', 'decided', 'to', 'take', 'a', 'week', 's', 'holiday', 'without', 'consulting', 'the', 'family', 'first', '']"
78,78,guilt,a friend came to visit me and i was not there ,"['a', 'friend', 'came', 'to', 'visit', 'me', 'and', 'i', 'was', 'not', 'there', '']"
79,79,anger,during a trivial  friendly  discussion  one of the participants made an intervention which made me feel uncomfortable ,"['during', 'a', 'trivial', '', 'friendly', '', 'discussion', '', 'one', 'of', 'the', 'participants', 'made', 'an', 'intervention', 'which', 'made', 'me', 'feel', 'uncomfortable', '']"
80,80,anger,the landlord had selected a new lodger on her own  while we used to do that it was not what she had done  but how she did it that made me angry ,"['the', 'landlord', 'had', 'selected', 'a', 'new', 'lodger', 'on', 'her', 'own', '', 'while', 'we', 'used', 'to', 'do', 'that', 'it', 'was', 'not', 'what', 'she', 'had', 'done', '', 'but', 'how', 'she', 'did', 'it', 'that', 'made', 'me', 'angry', '']"
81,81,disgust,i had a class mate who was rather stupid   i did not like him but i respected him   when he tried to talk to someone  they would not listen to him and i could not bear seeing this ,"['i', 'had', 'a', 'class', 'mate', 'who', 'was', 'rather', 'stupid', '', '', 'i', 'did', 'not', 'like', 'him', 'but', 'i', 'respected', 'him', '', '', 'when', 'he', 'tried', 'to', 'talk', 'to', 'someone', '', 'they', 'would', 'not', 'listen', 'to', 'him', 'and', 'i', 'could', 'not', 'bear', 'seeing', 'this', '']"
82,82,guilt,some time ago i took the driving test  i did answer the theoretical questions very well  but i failed the practical driving test  it was my fault because i had not enough practice ,"['some', 'time', 'ago', 'i', 'took', 'the', 'driving', 'test', '', 'i', 'did', 'answer', 'the', 'theoretical', 'questions', 'very', 'well', '', 'but', 'i', 'failed', 'the', 'practical', 'driving', 'test', '', 'it', 'was', 'my', 'fault', 'because', 'i', 'had', 'not', 'enough', 'practice', '']"
83,83,disgust,observing someone in the cafeteria noisily gulping in his food  having extremely bad manners ,"['observing', 'someone', 'in', 'the', 'cafeteria', 'noisily', 'gulping', 'in', 'his', 'food', '', 'having', 'extremely', 'bad', 'manners', '']"
84,84,disgust,when the summer holiday job was almost over ,"['when', 'the', 'summer', 'holiday', 'job', 'was', 'almost', 'over', '']"
85,85,anger,when i was punished in school for no serious mistake of mine ,"['when', 'i', 'was', 'punished', 'in', 'school', 'for', 'no', 'serious', 'mistake', 'of', 'mine', '']"
86,86,shame,my teacher reminded us not to do a summer job  however i did it for two months   yesterday i was chatting with my teacher and when we talked of the summer job  i felt ashamed ,"['my', 'teacher', 'reminded', 'us', 'not', 'to', 'do', 'a', 'summer', 'job', '', 'however', 'i', 'did', 'it', 'for', 'two', 'months', '', '', 'yesterday', 'i', 'was', 'chatting', 'with', 'my', 'teacher', 'and', 'when', 'we', 'talked', 'of', 'the', 'summer', 'job', '', 'i', 'felt', 'ashamed', '']"
87,87,guilt,when i was about 17 years old and i stole some pens from a stationery store because i didn t have enough money ,"['when', 'i', 'was', 'about', '17', 'years', 'old', 'and', 'i', 'stole', 'some', 'pens', 'from', 'a', 'stationery', 'store', 'because', 'i', 'didn', 't', 'have', 'enough', 'money', '']"
88,88,disgust,whenever i see an alcoholic ,"['whenever', 'i', 'see', 'an', 'alcoholic', '']"
89,89,guilt,i feel this feeling most often before me not before the others  my outside is iron but actually i m wasting away ,"['i', 'feel', 'this', 'feeling', 'most', 'often', 'before', 'me', 'not', 'before', 'the', 'others', '', 'my', 'outside', 'is', 'iron', 'but', 'actually', 'i', 'm', 'wasting', 'away', '']"
90,90,shame,i said something especially stupid which i did not mean at all ,"['i', 'said', 'something', 'especially', 'stupid', 'which', 'i', 'did', 'not', 'mean', 'at', 'all', '']"
91,91,disgust,i once got a phone call stating  one of your friend is in jail  please come and see him    when i went to the jail and saw him  i was disgusted ,"['i', 'once', 'got', 'a', 'phone', 'call', 'stating', '', 'one', 'of', 'your', 'friend', 'is', 'in', 'jail', '', 'please', 'come', 'and', 'see', 'him', '', '', '', 'when', 'i', 'went', 'to', 'the', 'jail', 'and', 'saw', 'him', '', 'i', 'was', 'disgusted', '']"
92,92,guilt,i felt guilty at being part of the successful people  felt guilty at being a student when other people were not  guilt about being a potential success in various areas of society   so stupid this emotion ,"['i', 'felt', 'guilty', 'at', 'being', 'part', 'of', 'the', 'successful', 'people', '', 'felt', 'guilty', 'at', 'being', 'a', 'student', 'when', 'other', 'people', 'were', 'not', '', 'guilt', 'about', 'being', 'a', 'potential', 'success', 'in', 'various', 'areas', 'of', 'society', '', '', 'so', 'stupid', 'this', 'emotion', '']"
